originalTitle,rating,startYear,endYear,runtimeMinutes,awardWins,numVotes,totalImages,totalVideos,totalCredits,criticReviewsTotal,titleType,awardNominationsExcludeWins,canHaveEpisodes,isAdult,numRegions,userReviewsTotal,is_Documentary,is_History,is_Adventure,is_Thriller,is_Game-Show,is_Comedy,is_Sci-Fi,is_Romance,is_Biography,is_Musical,is_Western,is_Music,is_Film-Noir,is_Adult,is_Reality-TV,is_News,is_Action,is_Crime,is_Short,is_Fantasy,is_Family,is_Mystery,is_Talk-Show,is_Drama,is_Sport,is_War,is_Horror,is_Animation,fill_runtimeMinutes,is_from_Oceania,is_from_North America,is_from_South America,is_from_Asia,is_from_Africa,is_from_Europe,countryOfOrigin,countryOfOrigin_freq_enc,countryOfOrigin_NA,countryOfOrigin_AF,countryOfOrigin_AS,countryOfOrigin_EU,countryOfOrigin_OC,countryOfOrigin_SA,countryOfOrigin_UNK,fill_runtimeMinutes_Bruno
Death Dig,8,1984,1984.0,60.0,0.0,89,3,0,61,0,tvEpisode,0,False,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,60.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,60.0
Selambs,8,1979,1979.0,528.0,0.0,19,2,0,115,0,tvMiniSeries,0,True,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,528.0,0,0,0,0,0,1,['SE'],0.009517448655869,0,0,0,1,0,0,0,528.0
Blink,8,2022,,,0.0,11,4,0,3,0,tvMiniSeries,0,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60.0,0,0,1,0,0,0,['BR'],0.0098513942227416,0,0,0,0,0,1,0,60.0
Fist & Faith,6,2017,2017.0,98.0,0.0,109,13,0,27,2,movie,0,False,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,98.0,0,0,0,1,0,0,['CN'],0.0067345689319307,0,0,1,0,0,0,0,98.0
Let Me Off Uptown,7,1942,1942.0,3.0,0.0,64,1,0,8,0,short,0,False,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,3.0
"Na uglu, u Patriarshikh...",6,1995,,,0.0,34,1,0,10,0,tvMiniSeries,0,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,60.0,0,0,0,0,0,1,['RU'],0.0079590360104636,0,0,0,1,0,0,0,54.0
Episode #8.202,8,2012,2012.0,,0.0,9,0,0,34,0,tvEpisode,0,False,0,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,25.0
Whitney Houston: Live in Concert,9,1991,1991.0,80.0,0.0,61,1,0,2,0,video,0,False,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,80.0
Tom & Gerri,9,2014,2014.0,29.0,0.0,2922,13,0,68,6,tvEpisode,0,False,0,1,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,29.0,0,0,0,0,0,1,['GB'],0.0987922301998107,0,0,0,1,0,0,0,29.0
What! No Spinach?,6,1926,1926.0,,0.0,53,5,0,10,1,short,0,False,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,15.0
Viz Top Tips 2,7,1996,1996.0,52.0,0.0,5,5,0,42,0,video,0,False,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0,0,0,0,0,0,1,['GB'],0.0987922301998107,0,0,0,1,0,0,0,52.0
Playing with Trains,8,1997,1997.0,51.0,0.0,29,1,0,91,0,tvEpisode,0,False,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,51.0,0,0,0,0,0,1,['GB'],0.0987922301998107,0,0,0,1,0,0,0,51.0
Con uñas y dientes,6,1979,1979.0,94.0,0.0,45,1,0,57,0,movie,0,False,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,94.0,0,0,0,0,0,1,['ES'],0.0180887182055991,0,0,0,1,0,0,0,94.0
Appassionata,8,1997,1997.0,90.0,0.0,51,0,0,57,1,video,0,False,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,90.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,90.0
Murder in Law,5,1989,1989.0,94.0,0.0,179,4,0,77,1,video,0,False,0,7,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,94.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,94.0
Dedans-dehors,5,2004,2004.0,14.0,0.0,6,0,0,47,0,short,0,False,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.0,0,0,0,0,0,1,['FR'],0.0459731730394612,0,0,0,1,0,0,0,14.0
Prelude 11,7,1996,1996.0,2.0,0.0,69,0,0,1,0,short,0,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,2.0
One of Our Olives Is Missing,9,1967,1967.0,25.0,0.0,210,2,0,39,1,tvEpisode,0,False,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,25.0
